,,,stan,er
-1000,1.22E-13,-0.010753,-0.006818179,-57.71072788
-999.98,5.8642,-0.015407,-0.009873094,-56.05036579
-999.98,-5.9421,-0.0060368,-0.003723015,-62.14816281
-999.93,11.668,-0.020015,-0.012897057,-55.19044968
-999.93,-11.743,-0.0014326,-0.000701187,-104.3107757
-999.85,-17.452,0.0030981,0.002272654,36.3207787
-999.85,17.452,-0.024608,-0.015911609,-54.65437599
-999.72,-23.467,0.0078734,0.005406208,45.63628412
-999.72,23.744,-0.029604,-0.019191597,-54.25500903
-999.58,29.062,-0.033831,-0.021965363,-54.01976275
-999.57,-29.404,0.012587,0.008500035,48.0817382
-999.39,-34.899,0.016953,0.011364353,49.17698976
-999.39,34.899,-0.038471,-0.025011101,-53.81570273
-999.18,-40.596,0.021477,0.014334591,49.82638787
-999.17,40.851,-0.043203,-0.028118323,-53.64714499
-998.92,-46.516,0.026181,0.017422722,50.26928421
-998.91,46.621,-0.047794,-0.031132399,-53.51852434
-998.63,-52.336,0.030809,0.020460381,50.5788222
-998.63,52.336,-0.052345,-0.034120123,-53.41386625
-998.31,-58.194,0.03547,0.023519638,50.81014361
-998.29,58.39,-0.057167,-0.037287438,-53.31436846
-997.95,-64.049,0.04013,0.026579461,50.98123956
-997.93,64.247,-0.061838,-0.040354688,-53.23622432
-997.56,-69.756,0.044676,0.029564203,51.11518386
-997.56,69.756,-0.066235,-0.043242156,-53.17228849
-997.17,75.188,-0.070573,-0.046091675,-53.1144168
-997.12,-75.87,0.04955,0.032764281,51.23176306
-996.68,81.384,-0.075526,-0.049345849,-53.05441311
-996.65,-81.739,0.054232,0.035838657,51.32263647
-996.19,-87.156,0.058559,0.038679295,51.39624288
-996.19,87.156,-0.080147,-0.052380691,-53.00867405
-995.71,-92.573,0.062889,0.041522924,51.45609625
-995.67,92.999,-0.084826,-0.055456869,-52.95851002
-995.16,-98.302,0.067472,0.044533348,51.50893101
-995.15,98.342,-0.089113,-0.05827346,-52.92210105
-995.08,21.105,-0.027588,-0.017909495,-54.0411958
-994.52,-104.53,0.072458,0.047809142,51.55678859
-994.52,104.53,-0.094081,-0.061539233,-52.87970843
-994.51,-28.276,0.011807,0.008007599,47.4474465
-994.42,-35.626,0.017669,0.01186452,48.92300187
