,,,stan,er
-1000,1.22E-13,-0.011701,-0.006818179,-71.61473328
-999.98,5.8642,-0.016769,-0.009873094,-69.84543285
-999.98,-5.9421,-0.0065657,-0.003723015,-76.35439183
-999.93,11.668,-0.021787,-0.012897057,-68.93001884
-999.93,-11.743,-0.0015519,-0.000701187,-121.3247891
-999.85,-17.452,0.0033817,0.002272654,48.79957952
-999.85,17.452,-0.026788,-0.015911609,-68.35506437
-999.72,-23.467,0.0085818,0.005406208,58.73973925
-999.72,23.744,-0.032228,-0.019191597,-67.92765947
-999.58,29.062,-0.036831,-0.021965363,-67.67762945
-999.57,-29.404,0.013714,0.008500035,61.34050669
-999.39,-34.899,0.018469,0.011364353,62.51694826
-999.39,34.899,-0.041881,-0.025011101,-67.44964899
-999.18,-40.596,0.023395,0.014334591,63.20660913
-999.17,40.851,-0.047034,-0.028118323,-67.27171302
-998.92,-46.516,0.028517,0.017422722,63.67706267
-998.91,46.621,-0.052032,-0.031132399,-67.13135244
-998.63,-52.336,0.033556,0.020460381,64.00476996
-998.63,52.336,-0.056985,-0.034120123,-67.01287933
-998.31,-58.194,0.03863,0.023519638,64.24572449
-998.29,58.39,-0.062235,-0.037287438,-66.9060773
-997.95,-64.049,0.043704,0.026579461,64.42771228
-997.93,64.247,-0.067318,-0.040354688,-66.81581146
-997.56,-69.756,0.048653,0.029564203,64.56726297
-997.56,69.756,-0.072103,-0.043242156,-66.74237967
-997.17,75.188,-0.076825,-0.046091675,-66.67868831
-997.12,-75.87,0.053959,0.032764281,64.68849047
-996.68,81.384,-0.082214,-0.049345849,-66.60773137
-996.65,-81.739,0.059055,0.035838657,64.78017217
-996.19,-87.156,0.063765,0.038679295,64.85564008
-996.19,87.156,-0.087241,-0.052380691,-66.55183266
-995.71,-92.573,0.068478,0.041522924,64.91613095
-995.67,92.999,-0.092333,-0.055456869,-66.49515604
-995.16,-98.302,0.073466,0.044533348,64.96850731
-995.15,98.342,-0.096996,-0.05827346,-66.44969997
-995.08,21.105,-0.030032,-0.017909495,-67.68758853
-994.52,-104.53,0.078892,0.047809142,65.01446583
-994.52,104.53,-0.1024,-0.061539233,-66.39791396
-994.51,-28.276,0.012865,0.008007599,60.6598966
-994.42,-35.626,0.019248,0.01186452,62.23158866
-994.37,-2.9948,-0.0090978,-0.005264142,-72.82587141
-994.27,15.084,-0.024814,-0.014763171,-68.08042215
-994.26,3.1602,-0.014448,-0.008498192,-70.01262898
-994.25,-15.568,0.0018297,0.001340478,36.49605711
-994.21,9.1598,-0.019664,-0.011651073,-68.77416008
-994.16,-9.3435,-0.003579,-0.001928491,-85.58551297
-994.02,31.757,-0.039312,-0.023526394,-67.09743198
-994.02,-22.013,0.0074342,0.004728348,57.22615794
-993.91,-110.2,0.083837,0.050795002,65.04970223
-993.89,110.33,-0.10748,-0.064607702,-66.35787483
-993.83,-42.351,0.025107,0.015407195,62.95633673
-993.83,37.417,-0.044239,-0.026504733,-66.90981336
-993.26,-115.89,0.088812,0.053799808,65.07865565
-993.24,116.12,-0.11254,-0.067671981,-66.30221013
-993.15,43.64,-0.049673,-0.02979774,-66.70056339
-992.99,55.723,-0.060187,-0.036150017,-66.49231232
-992.97,-48.794,0.030737,0.018815508,63.35992489
-992.92,-54.696,0.035867,0.021913915,63.67225992
-992.81,62.497,-0.066084,-0.039713055,-66.40371973
-992.8,26.503,-0.034773,-0.020796661,-67.20472659
-992.8,49.273,-0.054587,-0.032771282,-66.56961967
-992.69,69.226,-0.071939,-0.043248339,-66.33933575
-992.63,-61.386,0.041688,0.02543339,63.91051351
-992.55,-121.87,0.094038,0.056957241,65.10280081
-992.55,121.87,-0.11758,-0.070721309,-66.25823538
-992.11,-67.264,0.046822,0.02853872,64.0648227
-992.09,76.783,-0.078543,-0.047245855,-66.24315587
-991.86,-73.952,0.052642,0.032055799,64.21989872
-991.85,-127.42,0.098902,0.059895393,65.12455171
-991.78,127.94,-0.12291,-0.073944415,-66.21945054
-991.36,-80.035,0.057955,0.035268915,64.32317159
-991.05,-133.5,0.10423,0.06311544,65.14184041
-991.01,133.77,-0.12804,-0.077052141,-66.17318999
-990.99,88.849,-0.089108,-0.053643369,-66.11186378
-990.79,-87.061,0.064092,0.038982119,64.41384183
-990.27,-139.17,0.10921,0.066127108,65.15163471
-990.27,139.17,-0.1328,-0.079930465,-66.14441068
-990.26,-93.179,0.069442,0.042218094,64.48397782
-990.25,100.34,-0.099154,-0.059717199,-66.03926867
-990.05,82.952,-0.08405,-0.050617633,-66.04885643
-989.93,-99.908,0.075305,0.045759188,64.56804299
-989.87,-32.116,0.016329,0.010124111,61.28823402
-989.51,144.49,-0.13749,-0.082768363,-66.11419521
-989.45,-144.91,0.11425,0.069176232,65.15788251
-989.37,20.337,-0.029467,-0.017618014,-67.25495129
-989.06,94.585,-0.094251,-0.056797734,-65.94147985
-988.88,106.38,-0.10452,-0.062990773,-65.92906384
-988.65,150.25,-0.14257,-0.085850666,-66.06743606
-988.59,-150.62,0.11929,0.07222127,65.17294684
-988.57,-106.19,0.080878,0.049149261,64.55588233
-988.55,-38.683,0.022101,0.013627528,62.17908224
-988.5,-5.8733,-0.0065658,-0.003744675,-75.33698214
-988.41,-19.137,0.00503,0.003283912,53.17099736
-988.38,13.679,-0.023663,-0.014109201,-67.71325336
-988.33,39.123,-0.04591,-0.027590247,-66.39937751
-988.29,0.69802,-0.012311,-0.00722816,-70.31997176
-988.17,7.1758,-0.017977,-0.010663593,-68.58295257
-988.08,112.41,-0.10984,-0.0662204,-65.8703359
-988.07,72.199,-0.074815,-0.045087537,-65.93277149
